RATIO - 0.777

Watched as a bird fly away today, 0.5, 9, 0.42
on tv, *0.676, 4, 0.45
and i thought to myself, *1, 8, 0.48

6, *2.5, 3.0, 0.963
6, +0.5, 3.0, 0.963
67, +0.2, 3.0, 0.963
6, +0.3, 3.0, 0.963
6, +0.3, 3.0, 0.963
7, +0.25, 3.0, 0.963
6, +0.4, 3.0, 0.963
7, +0.15, 3.0, 0.963
7, +0.1, 3.0, 0.963
7, +0.5, 3.0, 0.963
6, +0.5, 3.0, 0.963
66, +0.2, 3.0, 0.963
7, +0.3, 3.0, 0.963
6, +0.3, 3.0, 0.963
6, +0.25, 3.0, 0.963
7, +0.4, 3.0, 0.963
6, +0.15, 3.0, 0.963
6, +0.1, 3.0, 0.963
6, +0.3333, 3.0, 0.963
6, +0.5, 3.0, 0.963
67, +0.2, 3.0, 0.963
6, +0.3, 3.0, 0.963
6, +0.3, 3.0, 0.963
7, +0.25, 3.0, 0.963
6, +0.4, 3.0, 0.963
7, +0.15, 3.0, 0.963
7, +0.1, 3.0, 0.963
7, +0.5, 3.0, 0.963
6, +0.5, 3.0, 0.963
66, +0.2, 3.0, 0.963
7, +0.3, 3.0, 0.963
7, +0.4, 3.0, 0.963
6, +0.15, 3.0, 0.963
6, +0.1, 3.0, 0.963

Isnt that something, *1, 4.8, 1.0, 0.2
